"Date","Price","Open","High","Low","Vol.","Change %"
"20-08-2024","62,240.60","62,381.20","62,473.05","61,996.60","23.75M","-0.14%"
"19-08-2024","62,326.05","62,433.25","62,640.40","62,228.80","26.77M","0.18%"
"16-08-2024","62,213.00","61,450.00","62,303.45","61,315.60","29.80M","1.48%"
"14-08-2024","61,305.30","61,642.30","61,730.40","61,092.25","22.93M","-0.31%"
"13-08-2024","61,495.75","61,768.10","61,978.65","61,326.80","30.70M","-0.28%"
"12-08-2024","61,668.45","61,840.25","62,163.80","61,553.40","23.86M","-0.79%"
"09-08-2024","62,157.35","62,479.55","62,488.40","62,029.85","19.29M","0.19%"
"08-08-2024","62,042.55","62,480.80","62,503.25","61,880.80","37.76M","-0.45%"
"07-08-2024","62,322.65","62,112.20","62,545.60","61,997.45","27.34M","1.17%"
"06-08-2024","61,604.15","61,654.80","62,291.35","61,516.50","35.29M","0.09%"
"05-08-2024","61,550.45","60,877.25","62,156.55","60,818.80","57.00M","-0.32%"
"02-08-2024","61,745.15","61,659.05","62,639.55","61,632.85","39.00M","-0.69%"
"01-08-2024","62,173.20","62,173.50","62,264.10","61,948.90","31.67M","0.15%"
"31-07-2024","62,082.20","62,143.30","62,264.60","61,841.50","32.87M","0.43%"
"30-07-2024","61,819.00","62,627.15","62,915.95","61,777.80","44.61M","-1.11%"
"29-07-2024","62,513.85","63,016.45","63,084.30","62,311.85","29.21M","-0.34%"
"26-07-2024","62,728.80","62,483.50","62,928.60","61,829.75","36.03M","0.95%"
"25-07-2024","62,139.50","61,912.50","62,342.20","61,599.15","41.06M","-0.07%"
"24-07-2024","62,182.35","62,627.70","62,731.80","61,908.60","75.96M","-0.53%"
"23-07-2024","62,511.25","61,028.00","62,755.00","60,850.60","81.37M","2.68%"
"22-07-2024","60,881.75","60,968.25","61,454.20","60,743.70","30.97M","-0.34%"
"19-07-2024","61,087.90","61,286.45","61,491.40","60,840.45","38.81M","-0.22%"
"18-07-2024","61,225.35","60,482.45","61,281.40","60,416.25","46.22M","0.96%"
"16-07-2024","60,645.15","60,144.25","60,875.15","60,004.00","36.30M","0.96%"
"15-07-2024","60,070.70","59,805.15","60,141.25","59,603.20","26.92M","0.58%"
"12-07-2024","59,725.75","59,576.70","59,885.40","59,414.85","35.52M","0.35%"
"11-07-2024","59,516.70","59,403.30","59,587.60","58,980.75","35.31M","0.28%"
"10-07-2024","59,349.60","59,219.40","59,545.75","58,687.15","29.82M","0.28%"
"09-07-2024","59,182.65","59,018.00","59,425.75","58,673.00","45.86M","0.97%"
"08-07-2024","58,611.20","57,888.45","58,673.95","57,748.95","49.53M","1.63%"
"05-07-2024","57,673.00","57,102.35","57,737.75","57,048.75","28.15M","1.08%"
"04-07-2024","57,058.40","57,325.70","57,446.05","57,030.35","21.08M","-0.21%"
"03-07-2024","57,177.55","56,850.50","57,276.65","56,805.15","20.47M","0.90%"
"02-07-2024","56,669.20","57,360.65","57,374.00","56,473.95","26.89M","-0.85%"
"01-07-2024","57,154.70","56,745.50","57,234.40","56,672.80","26.73M","0.70%"
"28-06-2024","56,756.85","56,709.10","57,007.45","56,560.35","30.84M","0.15%"
"27-06-2024","56,670.60","56,427.70","56,787.60","56,230.75","61.57M","0.36%"
"26-06-2024","56,465.20","56,257.70","56,609.80","56,089.80","27.86M","0.39%"
"25-06-2024","56,246.35","56,457.65","56,544.05","56,084.55","22.21M","-0.26%"
"24-06-2024","56,392.70","55,958.10","56,463.00","55,837.40","23.88M","0.72%"
"21-06-2024","55,990.10","56,737.55","56,761.30","55,906.65","47.51M","-1.20%"
"20-06-2024","56,669.65","56,705.10","56,895.20","56,352.20","29.93M","0.04%"
"19-06-2024","56,646.55","57,373.30","57,409.80","56,555.85","31.17M","-0.91%"
"18-06-2024","57,167.40","57,370.85","57,490.65","57,039.00","33.70M","-0.10%"
"14-06-2024","57,225.85","57,162.05","57,401.25","57,051.45","30.38M","0.19%"
"13-06-2024","57,117.00","57,676.25","57,679.25","57,059.25","51.61M","-0.66%"
"12-06-2024","57,495.55","57,886.25","57,945.40","57,446.75","34.06M","-0.51%"
"11-06-2024","57,792.85","58,081.15","58,233.65","57,725.15","27.93M","-0.34%"
"10-06-2024","57,991.75","58,038.15","58,266.05","57,769.20","29.11M","0.07%"
"07-06-2024","57,953.35","57,282.60","58,075.45","57,201.55","54.10M","1.01%"
"06-06-2024","57,373.60","57,851.65","57,862.00","56,736.80","56.04M","-0.34%"
"05-06-2024","57,567.40","55,799.00","58,832.65","55,646.95","100.18M","4.34%"
"04-06-2024","55,172.50","54,633.80","55,446.30","53,057.65","98.34M","0.95%"
"03-06-2024","54,653.60","55,139.00","55,184.85","54,552.15","30.73M","1.01%"
"31-05-2024","54,107.35","54,510.80","54,588.70","53,897.70","68.20M","-0.32%"
"30-05-2024","54,280.10","54,776.50","54,933.05","54,095.25","34.25M","-1.26%"
